Rowid,Kod,MenuEleman,Aciklama,sync_status,updated_at
,Kadro_Unvani,Sağlık Memuru,,clean,
,Kadro_Unvani,Sağlık Teknikeri,,clean,
,Kadro_Unvani,Sağlık Teknisyeni,,clean,
,Kadro_Unvani,Teknisyen,,clean,
,Kadro_Unvani,Uzman Doktor,,clean,
,Kaynak,Anjiyo,ANJ,clean,
,Kaynak,C-Kollu,CKL,clean,
,Kaynak,CR Cihazı,CRC,clean,
,Kaynak,Mamografi,MAM,clean,
,Kaynak,Manyetik Rezonans,MRI,clean,
,Kaynak,Medikal Cihaz,MED,clean,
,Kaynak,Mobil Bilgisayarlı Tomografi,MCT,clean,
,Kaynak,Mobil Tek Tüplü Röntgen,MTTR,clean,
,Kaynak,Tek Tüplü Röntgen,TTR,clean,
,Kaynak,Tomografi,CT,clean,
,Kaynak,Ultrasonografi,USG,clean,
,Koruyucu_Cinsi,Gonad Koruyucu,GK,clean,
,Koruyucu_Cinsi,Kurşun Başlık,KB,clean,
,Koruyucu_Cinsi,Kurşun Eldiven,KE,clean,
,Koruyucu_Cinsi,Kurşun Gözlük,KG,clean,
,Koruyucu_Cinsi,Kurşun Paravan,KP,clean,
,Koruyucu_Cinsi,Palto (Önlük),O,clean,
,Koruyucu_Cinsi,Tiroid Koruyucu,TK,clean,
,Koruyucu_Cinsi,Uyarı İşaretleri,UI,clean,
,Koruyucu_Cinsi,Yelek - Etek,YE,clean,
,Lisans_Durum,Devir,,clean,
,Lisans_Durum,Eksik Husus,,clean,
,Lisans_Durum,Kullanım Dışı (Depo),,clean,
,Lisans_Durum,Kullanım Dışı (HEK),,clean,
,Lisans_Durum,Lisans Gerekli Değil,,clean,
,Lisans_Durum,Lisansız,,clean,
,Lisans_Durum,Lisanslı,,clean,
,RKE_Teknik,Dikiş yerlerinde hasar var,,clean,
,RKE_Teknik,Kullanım Ömrünü Doldurmuş,,clean,
,RKE_Teknik,Kullanım ve bakım koşullarına uyulmamış,,clean,
,RKE_Teknik,"Kurşun, etek kısımlarında toplanmış",,clean,
,RKE_Teknik,Sabitleyici bantlar ve tokalar deforme,,clean,
,RKE_Teknik,Skopi altında kırık tespit edildi,,clean,
,RKE_Teknik,Tüm testler normal ekipman kullanıma uygun,,clean,
,Sistem_DriveID,Ariza_Raporlari,,clean,
,Sistem_DriveID,Cihaz_Kunye,,clean,
,Sistem_DriveID,Cihaz_Resim,,clean,
,Sistem_DriveID,Kalibrasyon_Raporlari,,clean,
,Sistem_DriveID,Cihaz_Lisanslar,,clean,
,Sistem_DriveID,Personel_Diploma,,clean,
,Sistem_DriveID,Personel_Dosya,,clean,
,Sistem_DriveID,Personel_Resim,,clean,
,Sistem_DriveID,RKE_Raporlari,,clean,
,Sistem_DriveID,Eski_Personel_Dosyalari,,clean,
,Sistem_DriveID,RKE_Muayene,,clean,
,Sistem_DriveID,Saglik_Raporlari,,clean,
,Sistem_DriveID,Cihaz_Belgeler,,clean,
,Sistem_DriveID,Personel_Belge,,clean,
,Sistem_DriveID,RKE_Rapor,,clean,
,Sistem_DriveID,Sozlesme,,clean,
,Sistem_DriveID,Satin_Alma_Belge,,clean,
,Sistem_DriveID,Kurumsal_Belge,,clean,
