Rowid;Kod;MenuEleman;Aciklama;sync_status;updated_at
ZkETf1nC;Gorev_Yeri;Poliklinik;Çalışma Koşulu A;clean;
IsDrGTEF;Gorev_Yeri;Radyoloji;Çalışma Koşulu B;clean;
b4Y6UKuR;Gorev_Yeri;Radyoloji Kayıt Şef;Çalışma Koşulu B;clean;
K0yvwNbK;Gorev_Yeri;Radyoloji Kayit;Çalışma Koşulu B;clean;
C9wWDzYL;Gorev_Yeri;Rapor Sekreteri;Çalışma Koşulu B;clean;
28nlYxNt;Gorev_Yeri;Seyyar Grafi;Çalışma Koşulu A;clean;
Etb7Lisc;Gorev_Yeri;Tomografi;Çalışma Koşulu A;clean;
5YWBv3Ss;Gorev_Yeri;Ultrasonografi;Çalışma Koşulu B;clean;
efeBf1Ps;Gorev_Yeri;Ultrasonografi Kayıt;Çalışma Koşulu B;clean;
SKwldxW3;Gorev_Yeri;Vatan Yerleşkesi;Çalışma Koşulu A;clean;
Va9ujcAP;Hizmet_Sinifi;Akademik Personel;;clean;
ve4VUaVw;Hizmet_Sinifi;Asistan Doktor;;clean;
emAxxVKJ;Hizmet_Sinifi;Hasta Bakımı / Temizlik Hizmetleri;;clean;
SKwldxW2;Hizmet_Sinifi;Hemşire;;clean;
NBuvaVB5;Hizmet_Sinifi;Radyasyon Görevlisi;;clean;
ztkwmDy6;Hizmet_Sinifi;Sekreterya / Memur;;clean;
dKsSF10v;İzin_Tipi;Aylıksız İzin - Askerlik Nedeniyle;;clean;
r2IGntPn;İzin_Tipi;Aylıksız İzin - Doğum Nedeniyle;;clean;
i0M6NNC7;İzin_Tipi;Doğum İzni (Eşinin);10;clean;
ao0Kx2d4;İzin_Tipi;Doğum Öncesi İzin;42;clean;
WWd1z0Cw;İzin_Tipi;Doğum Sonrası İzin;42;clean;
WmcMwHdW;İzin_Tipi;Evlenme-Ölüm İzni;;clean;
2b3a4fde;İzin_Tipi;Evlilik İzni;;clean;
HZdIfm9U;İzin_Tipi;Heyet Raporu;;clean;
1uVpfLkE;İzin_Tipi;İdari İzin;;clean;
0dfa3597;İzin_Tipi;İdari İzin (COVID-19);;clean;
d30bbbfc;İzin_Tipi;Kongre izni: 3 aya kadar;;clean;
65c2c039;İzin_Tipi;Mazeret;;clean;
5fe67e55;İzin_Tipi;Rapor İzni;;clean;
iypntfZY;İzin_Tipi;Refakatçı İzni;;clean;
1lg6ylDc;İzin_Tipi;Şua İzni;30;clean;
8h3xmWdL;İzin_Tipi;Tedavi İzni (Yatış Ve Ayaktan);;clean;
wZiEkYi6;İzin_Tipi;Yıllık İzin;30;clean;
nzAfMtHy;Kadro_Unvani;4D Sürekli İşçi (Temizlik);;clean;
4lfIrOjc;Kadro_Unvani;Araştırma Görevlisi;;clean;
ciR1H27c;Kadro_Unvani;Bilgisayar İşletmeni;;clean;
zxz94hWv;Kadro_Unvani;Büro Personeli;;clean;
088f0ee6;Kadro_Unvani;Destek Personeli;;clean;
Suy53nUe;Kadro_Unvani;Doçent Doktor;;clean;
bsvgTcUg;Kadro_Unvani;Doktor;;clean;
t085Vc7C;Kadro_Unvani;Doktor Öğretim Üyesi;;clean;
6zDl9Uo4;Kadro_Unvani;Ebe;;clean;
BTPiOj5d;Kadro_Unvani;Esnaf Hastanesi;;clean;
hUhSGoZx;Kadro_Unvani;Hasta Bakıcı;;clean;
HCNTkUMH;Kadro_Unvani;Hemşire;;clean;
SA0BY93r;Kadro_Unvani;Hizmetli;;clean;
Hz6Fa0Jg;Kadro_Unvani;Laborant;;clean;
2CrECP60;Kadro_Unvani;Profesör Doktor;;clean;
2DOEEc84;Kadro_Unvani;Radyoloji Teknik Personeli;;clean;
NP6EJ97a;Kadro_Unvani;Radyoloji Teknikeri;;clean;
PiA71O6E;Kadro_Unvani;Radyoloji Teknisyeni;;clean;
vmFtIYn7;Kadro_Unvani;Sağlık Memuru;;clean;
yhdyKn4R;Kadro_Unvani;Sağlık Teknikeri;;clean;
Fy7easrk;Kadro_Unvani;Sağlık Teknisyeni;;clean;
SyLJBFDJ;Kadro_Unvani;Söz.Sağlık Teknikeri;;clean;
7ZDjV32t;Kadro_Unvani;Söz.Sağlık Teknisyeni;;clean;
HkCEzIJC;Kadro_Unvani;Şef;;clean;
SuGm8nbt;Kadro_Unvani;Teknisyen;;clean;
d6jyROw4;Kadro_Unvani;Teknisyen Yardımcısı;;clean;
fbZf8nby;Kadro_Unvani;Temizlik Görevlisi;;clean;
RzHYZvlS;Kadro_Unvani;Tıbbi Sekreter;;clean;
Oru7ycw8;Kadro_Unvani;Uzman Doktor;;clean;
iJRBEzT9;Kadro_Unvani;Veri Analisti;;clean;
lNnjefZU;Kadro_Unvani;Veri Giriş Kayıt Ve Analiz Hizmetleri;;clean;
sM7wT23a;Kadro_Unvani;Veri Hazırlama Kontrol İşletmeni;;clean;
87338a69;Kalibrasyon_Durum;Evet;;clean;
87338a70;Kalibrasyon_Durum;Hayır;;clean;
fkKPaoia;Kaynak;Anjiyo;ANJ;clean;
D0JvPUFW;Kaynak;C-Kollu;CKL;clean;
agPWI3je;Kaynak;CR Cihazı;CRC;clean;
dIEZm1MK;Kaynak;Mamografi;MAM;clean;
wfg5EM3J;Kaynak;Manyetik Rezonans;MRI;clean;
TCITBOf8;Kaynak;Medikal Cihaz;MED;clean;
WsLDa8MB;Kaynak;Mobil Bilgisayarlı Tomografi;MCT;clean;
uKslkjJJ;Kaynak;Mobil Tek Tüplü Röntgen;MTTR;clean;
Bn5lcFob;Kaynak;Tek Tüplü Röntgen;TTR;clean;
BVsJW7td;Kaynak;Tomografi;CT;clean;
aKT5pDvN;Kaynak;Ultrasonografi;USG;clean;
aUVA65Kk;Koruyucu_Cinsi;Gonad Koruyucu;GK;clean;
uj4Cj1Kt;Koruyucu_Cinsi;Kurşun Başlık;KB;clean;
vzpfhyMl;Koruyucu_Cinsi;Kurşun Eldiven;KE;clean;
7PNSrweC;Koruyucu_Cinsi;Kurşun Gözlük;KG;clean;
xpA4m9TS;Koruyucu_Cinsi;Kurşun Paravan;KP;clean;
IezjrZYB;Koruyucu_Cinsi;Palto (Önlük);O;clean;
w9mWazlr;Koruyucu_Cinsi;Tiroid Koruyucu;TK;clean;
WE4CkUcG;Koruyucu_Cinsi;Uyarı İşaretleri;UI;clean;
zOgR5mOR;Koruyucu_Cinsi;Yelek - Etek;YE;clean;
eb355525;Lisans_Durum;Devir;;clean;
Mx7lnWvz;Lisans_Durum;Eksik Husus;;clean;
WsJVNJs8;Lisans_Durum;Kullanım Dışı (Depo);;clean;
kYCt4P2n;Lisans_Durum;Kullanım Dışı (HEK);;clean;
CeomIRZw;Lisans_Durum;Lisans Gerekli Değil;;clean;
c6AY34nE;Lisans_Durum;Lisansız;;clean;
nNDdYjEN;Lisans_Durum;Lisanslı;;clean;
sbKa9BdO;Marka;Canon;;clean;
5e66ebd5;Marka;CARDİOLİNE S.P.A;;clean;
t6HNk9GC;Marka;Dornier;;clean;
