EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-O-43,ORT-AML-Ö-37,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-213; Koruyucu No: NRŞ-AML-Ö-16; Durum: Muayene Edilmedi; Kontrol Tarihi:01/02/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-44,ORT-AML-Ö-38,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-214; Koruyucu No: NRŞ-AML-Ö-16; Durum: Muayene Edilmedi; Kontrol Tarihi:01/02/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-45,KRD-ANJ-Ö-14,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-45; Koruyucu No: KRD-ANJ-Ö-14; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-O-46,ORT-AML-Ö-39,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-47,CER-AEND-Ö-15,Genel Cerrahi ABD,Acil Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-47; Koruyucu No: CER-AEND-Ö-15; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-48,KRD-ANJ-Ö-15,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-48; Koruyucu No: KRD-ANJ-Ö-15; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-O-49,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-5,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,S,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: ANZ-SRV-Ö-5; Durum: Kullanıma Uygun Değil; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-50,KRD-ANJ-Ö-5,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-51,KRD-ANJ-Ö-6,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-52,RAD-ANJ-Ö-5,Radyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-52; Koruyucu No: RAD-ANJ-Ö-5; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-O-53,KRD-ANJ-Ö-7,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-54,ORT-AML-Ö-40,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-55,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-56,KRD-ANJ-Ö-8,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-57,NRŞ-AML-Ö-14,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-57; Koruyucu No: NRŞ-AML-Ö-14; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-58,ANZ-SRV-Ö-6,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-58; Koruyucu No: ANZ-SRV-Ö-6; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-59,ORT-AML-Ö-41,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-6,ORT-AML-Ö-42,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,S,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-58; Koruyucu No: ANZ-SRV-Ö-12; Durum: Muayene Edilmedi; Kontrol Tarihi:01/02/2025; Gelecek Kontrol Tarihi:NaN/NaN/0NaN&eclevel=L&dmsize=Default,clean,
RKE-O-60,ORT-AML-Ö-43,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-61,CER-END-Ö-8,Genel Cerrahi ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-61; Koruyucu No: CER-END-Ö-8; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-62,CER-AEND-Ö-16,Genel Cerrahi ABD,Acil Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-62; Koruyucu No: CER-AEND-Ö-16; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-63,MDK-RAD-Ö-4,Mediko Sosyal Başhekimliği,Poliklinik,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-64,KRD-ANJ-Ö-9,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-65,RAD-YBÜ-Ö-3,Radyoloji ABD,Yoğun Bakım Ünitesi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-66,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-67,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-68,ORT-AML-Ö-44,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-69,ORT-AML-Ö-45,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
