EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-TK-116,ANZ-SRV-TK-19,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-116; Koruyucu No: ANZ-SRV-TK-19; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-117,NRŞ-AML-TK-1,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-118,NRŞ-AML-TK-2,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-119,NRŞ-AML-TK-3,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-12,ÜRO-END-TK-3,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-120,NRŞ-AML-TK-4,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-121,NRŞ-AML-TK-5,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-122,NRŞ-AML-TK-6,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-123,NRŞ-AML-TK-7,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-124,NRŞ-AML-TK-8,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-125,NRŞ-AML-TK-9,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-126,NRŞ-AML-TK-10,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-127,NRŞ-AML-TK-11,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Tiroid Koruyucu,,0,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-117; Koruyucu No: NRŞ-AML-TK-1; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-13,ORT-AML-TK-4,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-14,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-15,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-16,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-17,RAD-ANJ-TK-10,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-18,ORT-AML-TK-5,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-19,RAD-MAM-TK-6,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-2,RAD-MAM-TK-2,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-20,ORT-AML-TK-6,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-21,KRD-ANJ-TK-1,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-22,RAD-ANJ-TK-11,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-23,ORT-AML-TK-7,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-24,ÜRO-END-TK-17,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-TK-86; Koruyucu No: MDK-RAD-TK-3; Durum: Muayene Edilmedi; Kontrol Tarihi:12/28/2024; Gelecek Kontrol Tarihi:12/31/2025&eclevel=L&dmsize=Default,clean,
RKE-TK-25,ANZ-SRV-TK-2,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-25; Koruyucu No: ANZ-SRV-TK-2; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-26,KRD-ANJ-TK-2,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-27,ÜRO-END-TK-18,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-28,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-29,RAD-ANJ-TK-12,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-3,ANZ-SRV-TK-3,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-3; Koruyucu No: ANZ-SRV-TK-3; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-30,ÜRO-END-TK-19,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-31,ÜRO-END-TK-20,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-32,ÜRO-END-TK-21,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-33,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-34,KRD-ANJ-TK-3,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-35,RAD-MAM-TK-3,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-36,ANZ-SRV-TK-4,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-36; Koruyucu No: ANZ-SRV-TK-4; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-37,KRD-ANJ-TK-4,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-38,RAD-ANJ-TK-13,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-39,RAD-ANJ-TK-14,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-4,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-40,KRD-ANJ-TK-5,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-41,CER-END-TK-6,Genel Cerrahi ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-41; Koruyucu No: CER-END-TK-6; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-42,ÜRO-END-TK-22,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-43,KRD-ANJ-TK-6,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-44,RAD-MAM-TK-5,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-45,KRD-ANJ-TK-7,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-46,KRD-ANJ-TK-8,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-46; Koruyucu No: KRD-ANJ-TK-8; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN,clean,
RKE-TK-47,ANZ-SRV-TK-5,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-47; Koruyucu No: ANZ-SRV-TK-5; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-48,KRD-ANJ-TK-9,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-49,KRD-ANJ-TK-10,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-5,ANZ-SRV-TK-6,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-5; Koruyucu No: ANZ-SRV-TK-6; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-50,KRD-ANJ-TK-11,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-51,ÜRO-END-TK-23,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-52,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-53,RAD-ANJ-TK-15,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-54,CER-END-TK-7,Genel Cerrahi ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-54; Koruyucu No: CER-END-TK-7; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-55,KRD-ANJ-TK-12,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-56,CER-END-TK-8,Genel Cerrahi ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-56; Koruyucu No: CER-END-TK-8; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-57,ANZ-SRV-TK-7,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-57; Koruyucu No: ANZ-SRV-TK-7; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-58,KRD-ANJ-TK-13,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-59,ORT-AML-TK-8,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-6,ÜRO-END-TK-24,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-60,ÜRO-END-TK-25,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-61,ORT-AML-TK-9,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-62,KRD-ANJ-TK-14,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-63,ORT-AML-TK-10,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-64,ANZ-SRV-TK-8,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-64; Koruyucu No: ANZ-SRV-TK-8; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-65,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-66,ORT-AML-TK-11,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-67,ORT-AML-TK-12,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-68,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-69,ORT-AML-TK-13,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-7,KRD-ANJ-TK-15,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-70,ÜRO-END-TK-26,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-71,ORT-AML-TK-14,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-72,KRD-ANJ-TK-16,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-73,RAD-MAM-TK-1,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-74,ORT-AML-TK-15,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-75,ORT-AML-TK-16,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-76,RAD-ANJ-TK-16,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-77,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-78,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-79,RAD-MAM-TK-4,Radyoloji ABD,Mamografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-8,ORT-AML-TK-17,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-80,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-81,CER-END-TK-9,Genel Cerrahi ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-81; Koruyucu No: CER-END-TK-9; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-82,ORT-AML-TK-18,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-83,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-84,KRD-ANJ-TK-17,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-85,RAD-ANJ-TK-17,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-86,MDK-RAD-TK-3,Mediko Sosyal Başhekimliği,Poliklinik,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-87,RAD-ANJ-TK-18,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-88,KRD-ANJ-TK-18,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-89,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-9,ÜRO-END-TK-27,Üroloji ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-90,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-91,RAD-ANJ-TK-19,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-92,ANZ-SRV-TK-9,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-92; Koruyucu No: ANZ-SRV-TK-9; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-93,CER-END-TK-10,Genel Cerrahi ABD,Endoskopi Ünitesi,Tiroid Koruyucu,,2024,STN,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-TK-93; Koruyucu No: CER-END-TK-10; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-TK-94,KRD-ANJ-TK-19,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-95,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-96,,Radyoloji ABD,Radyoloji Depo,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-97,ORT-AML-TK-19,Ortopedi ve Travmatoloji ABD,Ameliyathane,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-98,RAD-ANJ-TK-20,Radyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-TK-99,KRD-ANJ-TK-20,Kardiyoloji ABD,Anjiografi,Tiroid Koruyucu,,2024,STN,,,,,,,clean,
RKE-YE-1,RAD-ANJ-YE-1,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-10,RAD-MAM-YE-5,Radyoloji ABD,Mamografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-11,RAD-ANJ-YE-2,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-12,RAD-MAM-YE-2,Radyoloji ABD,Mamografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-13,RAD-ANJ-YE-3,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-14,RAD-MAM-YE-4,Radyoloji ABD,Mamografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-15,RAD-ANJ-YE-4,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-16,RAD-ANJ-YE-5,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-17,RAD-ANJ-YE-6,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-18,RAD-ANJ-YE-7,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-19,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-2,RAD-ANJ-YE-8,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-20,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-21,RAD-MAM-YE-1,Radyoloji ABD,Mamografi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-22,CER-END-YE-8,Genel Cerrahi ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-YE-22; Koruyucu No: CER-END-YE-8; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-YE-23,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-24,RAD-MAM-YE-3,Radyoloji ABD,Mamografi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-25,ANZ-SRV-YE-1,Anesteziyoloji ve Reanimasyon ABD,Algoloji Servis,Yelek - Etek,,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-YE-25; Koruyucu No: ANZ-SRV-YE-1; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-YE-26,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-27,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-28,ÜRO-END-YE-1,Üroloji ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-29,ÜRO-END-YE-2,Üroloji ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-3,RAD-ANJ-YE-9,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-30,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-31,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-32,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,M,,,,,,,clean,
RKE-YE-33,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-34,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-35,ÜRO-END-YE-3,Üroloji ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-36,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-37,RAD-ANJ-YE-10,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-38,RAD-ANJ-YE-11,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-39,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-4,RAD-ANJ-YE-12,Radyoloji ABD,Anjiografi,Yelek - Etek,,2024,S,,,,,,,clean,
RKE-YE-40,CER-END-YE-5,Genel Cerrahi ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,L,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-YE-40; Koruyucu No: CER-END-YE-5; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-YE-41,CER-END-YE-6,Genel Cerrahi ABD,Endoskopi Ünitesi,Yelek - Etek,,2024,L,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-YE-41; Koruyucu No: CER-END-YE-6; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-YE-42,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-43,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-44,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
RKE-YE-45,,Radyoloji ABD,Radyoloji Depo,Yelek - Etek,,2024,L,,,,,,,clean,
