VardiyaID,GrupID,BirimID,VardiyaAdi,BasSaat,BitSaat,SureDakika,Rol,MinPersonel,Sira,GeserlilikBaslangic,GeserlilikBitis,Aktif,created_at,updated_at
edd4a220-173c-4efc-8ded-0377c6273b20,7c46618b-9d6d-4c6b-89a3-9c52ebc397de,5505894462afe8439f27adab02d68abb,Gündüz,08:00,20:00,720,ana,1,1,,,1,2026-03-25T11:51:14,2026-03-25T11:51:14.293049
7223c457-ad2f-4ccc-9f05-b310339bd0ad,7c46618b-9d6d-4c6b-89a3-9c52ebc397de,5505894462afe8439f27adab02d68abb,Gece,20:00,08:00,720,ana,1,2,,,1,2026-03-25T11:51:14,2026-03-25T11:51:14.296042
6350cb31-3157-4b26-8b85-d2bd8f3c198b,6beb9718-c843-4499-884f-423e50c75fe3,7d94777cf7c826219327ae614beeba8a,Normal,08:00,16:00,420,ana,1,1,,,1,2026-03-26 14:30:43,2026-03-27T12:49:11.369218
bc1ed436-0bf2-43a9-988b-13fb1eb18adc,329e7260-223f-4400-8b4b-fccd33bd07ad,561c00528d971b676cd576e4d58cbfea,Gündüz,08:00,20:00,720,ana,1,1,,,1,2026-03-27T09:08:59,2026-03-27T09:08:59.471598
d06496d5-8d2a-469b-b464-4fd9a70b5eed,329e7260-223f-4400-8b4b-fccd33bd07ad,561c00528d971b676cd576e4d58cbfea,Gece,20:00,08:00,720,ana,1,2,,,1,2026-03-27T09:08:59,2026-03-27T09:08:59.474586
303c0598-03f5-4d6c-88c5-85002eae9330,6f36aff0-c99c-41b1-ae1b-a41fe7f9d219,54183ef77f83423ddf83053975cead87,Mesai Vardiyası,08:00,15:00,420,ana,1,1,,,1,2026-03-27 13:36:54,2026-03-27T13:38:52.732128
91463ad0-5242-4430-8e9f-f271938749b4,329e7260-223f-4400-8b4b-fccd33bd07ad,561c00528d971b676cd576e4d58cbfea,as,12:00,00:00,720,ana,1,1,,,1,2026-03-27 13:41:33,2026-03-27T13:42:14.443460
