PlanID,BirimID,Yil,Ay,Versiyon,Durum,AlgoritmaVersiyon,OlusturmaParametreleri,Notlar,OnaylayanID,OnayTarihi,created_at,updated_at,created_by
89d87b69-5ac7-42e2-a92c-aeee4f7fb439,5505894462afe8439f27adab02d68abb,2025,8,1,taslak,,,,,2026-03-25,2026-03-25 11:51:29,2026-03-26T10:49:55.913559,
54aa6466-7430-4c00-a46c-b49b59355df3,5505894462afe8439f27adab02d68abb,2026,3,1,taslak,,,,,2026-03-29,2026-03-25 14:14:38,2026-03-29T17:14:32.888878,
a2c1c299-a43c-4516-829a-f0d6c3cf02ad,5505894462afe8439f27adab02d68abb,2026,2,1,taslak,,,,,2026-03-29,2026-03-25 14:30:58,2026-03-29T17:14:42.752457,
53f1c7f6-70ab-4510-99e6-eb828915ef59,5505894462afe8439f27adab02d68abb,2026,1,1,taslak,,,,,2026-03-29,2026-03-25 14:31:09,2026-03-29T17:14:51.282103,
65cb3406-e564-49d1-84d6-4b83a9105985,5505894462afe8439f27adab02d68abb,2025,9,1,taslak,,,,,,2026-03-26 13:12:28,2026-03-26 13:12:28,
ab80c796-a736-4656-9f3a-c2bc5b0cfe7b,5505894462afe8439f27adab02d68abb,2025,10,1,taslak,,,,,,2026-03-26 14:19:42,2026-03-26 14:19:42,
476709a2-47fc-45d8-babf-dd021dcb08d1,7d94777cf7c826219327ae614beeba8a,2026,3,1,taslak,,,,,,2026-03-27 12:46:54,2026-03-27 12:46:54,
146d9aae-465d-4c79-aac0-40dc3d857e1a,561c00528d971b676cd576e4d58cbfea,2026,3,1,taslak,,,,,,2026-03-27 13:43:06,2026-03-27 13:43:06,
