OnayID,BirimID,Yil,Ay,Durum,OnayTarihi,Notlar,created_at
7eac18cd-be52-459e-9c0a-07d4d932c564,5505894462afe8439f27adab02d68abb,2025,9,onaylandi,2026-03-26 13:12:24,,2026-03-26 13:12:24
af66a9bd-5b3c-4371-a441-33a477e6593d,5505894462afe8439f27adab02d68abb,2025,8,onaylandi,2026-03-26 13:38:13,,2026-03-26 13:38:13
d26644c3-83a2-4549-8212-f3a3f8683954,5505894462afe8439f27adab02d68abb,2025,10,onaylandi,2026-03-26 14:19:38,,2026-03-26 14:19:38
9933ac3c-6dac-4436-927b-2e10134687c7,7d94777cf7c826219327ae614beeba8a,2026,3,onaylandi,2026-03-27 07:53:08,,2026-03-27 07:53:08
e1b96fed-8585-4c99-bd06-9d487a186bd3,561c00528d971b676cd576e4d58cbfea,2026,3,onaylandi,2026-03-27 13:43:00,,2026-03-27 13:43:00
2c05b32a-3df5-41b0-91fd-eb124acf7c9b,5505894462afe8439f27adab02d68abb,2026,2,onaylandi,2026-03-29 20:36:09,,2026-03-29 20:36:09
8494647a-04a9-43e2-937c-82cb031483ed,5505894462afe8439f27adab02d68abb,2026,3,onaylandi,2026-03-29 20:44:17,,2026-03-29 20:44:17
